255:	0
254:	1
253:	10
252:	11
251:	100
250:	101
106:	110
110:	111
112:	1000
109:	1001
111:	1010
249:	1011
107:	1100
108:	1101
117:	1110
113:	1111
105:	10000
114:	10001
118:	10010
115:	10011
100:	10100
116:	10101
120:	10110
119:	10111
102:	11000
99:	11001
98:	11010
101:	11011
95:	11100
89:	11101
90:	11110
96:	11111
121:	100000
87:	100001
103:	100010
122:	100011
88:	100100
93:	100101
104:	100110
123:	100111
97:	101000
92:	101001
91:	101010
94:	101011
124:	101100
125:	101101
74:	101110
86:	101111
85:	110000
131:	110001
134:	110010
80:	110011
132:	110100
135:	110101
76:	110110
133:	110111
82:	111000
137:	111001
126:	111010
129:	111011
139:	111100
127:	111101
248:	111110
193:	111111
83:	1000000
78:	1000001
70:	1000010
75:	1000011
79:	1000100
81:	1000101
128:	1000110
189:	1000111
194:	1001000
190:	1001001
130:	1001010
188:	1001011
192:	1001100
140:	1001101
73:	1001110
136:	1001111
77:	1010000
191:	1010001
187:	1010010
195:	1010011
71:	1010100
84:	1010101
72:	1010110
138:	1010111
196:	1011000
142:	1011001
141:	1011010
186:	1011011
155:	1011100
164:	1011101
144:	1011110
68:	1011111
145:	1100000
143:	1100001
185:	1100010
67:	1100011
69:	1100100
160:	1100101
156:	1100110
154:	1100111
147:	1101000
178:	1101001
152:	1101010
197:	1101011
157:	1101100
153:	1101101
158:	1101110
161:	1101111
163:	1110000
146:	1110001
148:	1110010
183:	1110011
165:	1110100
151:	1110101
162:	1110110
182:	1110111
247:	1111000
175:	1111001
169:	1111010
179:	1111011
149:	1111100
172:	1111101
159:	1111110
166:	1111111
167:	10000000
171:	10000001
168:	10000010
198:	10000011
199:	10000100
66:	10000101
184:	10000110
150:	10000111
170:	10001000
177:	10001001
176:	10001010
180:	10001011
173:	10001100
181:	10001101
200:	10001110
174:	10001111
65:	10010000
64:	10010001
201:	10010010
204:	10010011
205:	10010100
246:	10010101
202:	10010110
203:	10010111
63:	10011000
206:	10011001
62:	10011010
61:	10011011
60:	10011100
208:	10011101
207:	10011110
245:	10011111
59:	10100000
209:	10100001
57:	10100010
54:	10100011
55:	10100100
56:	10100101
58:	10100110
53:	10100111
244:	10101000
210:	10101001
52:	10101010
212:	10101011
243:	10101100
211:	10101101
242:	10101110
51:	10101111
213:	10110000
50:	10110001
214:	10110010
237:	10110011
241:	10110100
215:	10110101
239:	10110110
48:	10110111
238:	10111000
229:	10111001
240:	10111010
49:	10111011
216:	10111100
235:	10111101
233:	10111110
219:	10111111
220:	11000000
224:	11000001
236:	11000010
221:	11000011
227:	11000100
217:	11000101
47:	11000110
218:	11000111
230:	11001000
234:	11001001
226:	11001010
232:	11001011
228:	11001100
231:	11001101
222:	11001110
223:	11001111
46:	11010000
225:	11010001
45:	11010010
44:	11010011
42:	11010100
41:	11010101
43:	11010110
40:	11010111
38:	11011000
39:	11011001
37:	11011010
36:	11011011
35:	11011100
33:	11011101
34:	11011110
32:	11011111
30:	11100000
31:	11100001
29:	11100010
28:	11100011
27:	11100100
24:	11100101
26:	11100110
22:	11100111
23:	11101000
25:	11101001
11:	11101010
15:	11101011
18:	11101100
20:	11101101
21:	11101110
6:	11101111
7:	11110000
10:	11110001
13:	11110010
14:	11110011
16:	11110100
17:	11110101
